,SMILES,TR/TE,F-L_class,@-@@_class,R-S_class,SMILES_ns,SMILES_opp
65,CC(C)(C)OC(=O)N[C@@H](C(=[N+]=[N-])P(=O)(OC(C)(C)C)OC(C)(C)C)c1ccc([N+](=O)[O-])cc1,TE,L,@@,R,CC(C)(C)OC(=O)NC(C(=[N+]=[N-])P(=O)(OC(C)(C)C)OC(C)(C)C)c1ccc([N+](=O)[O-])cc1,CC(C)(C)OC(=O)N[C@H](C(=[N+]=[N-])P(=O)(OC(C)(C)C)OC(C)(C)C)c1ccc([N+](=O)[O-])cc1
66,CC(C)(C)OC(=O)N[C@H](C(=[N+]=[N-])P(=O)(OC(C)(C)C)OC(C)(C)C)c1cccc([N+](=O)[O-])c1,TE,F,@,S,CC(C)(C)OC(=O)NC(C(=[N+]=[N-])P(=O)(OC(C)(C)C)OC(C)(C)C)c1cccc([N+](=O)[O-])c1,CC(C)(C)OC(=O)N[C@@H](C(=[N+]=[N-])P(=O)(OC(C)(C)C)OC(C)(C)C)c1cccc([N+](=O)[O-])c1
67,CC(C)(C)OC(=O)N[C@@H](C(=[N+]=[N-])P(=O)(OC(C)(C)C)OC(C)(C)C)c1cccc([N+](=O)[O-])c1,TE,L,@@,R,CC(C)(C)OC(=O)NC(C(=[N+]=[N-])P(=O)(OC(C)(C)C)OC(C)(C)C)c1cccc([N+](=O)[O-])c1,CC(C)(C)OC(=O)N[C@H](C(=[N+]=[N-])P(=O)(OC(C)(C)C)OC(C)(C)C)c1cccc([N+](=O)[O-])c1
68,CC(C)(C)[P@](=O)(/C(=C/c1ccccc1)c1ccccc1)c1ccccc1,TE,F,@,R,CC(C)(C)P(=O)(C(=Cc1ccccc1)c1ccccc1)c1ccccc1,CC(C)(C)[P@@](=O)(/C(=C/c1ccccc1)c1ccccc1)c1ccccc1
69,CC(C)(C)[P@@](=O)(/C(=C/c1ccccc1)c1ccccc1)c1ccccc1,TE,L,@@,S,CC(C)(C)P(=O)(C(=Cc1ccccc1)c1ccccc1)c1ccccc1,CC(C)(C)[P@](=O)(/C(=C/c1ccccc1)c1ccccc1)c1ccccc1
70,CC(C)(C)[P@](=O)(/C=C/c1ccc(C(F)(F)F)cc1)c1ccccc1,TE,F,@,R,CC(C)(C)P(=O)(C=Cc1ccc(C(F)(F)F)cc1)c1ccccc1,CC(C)(C)[P@@](=O)(/C=C/c1ccc(C(F)(F)F)cc1)c1ccccc1
71,CC(C)(C)[P@@](=O)(/C=C/c1ccc(C(F)(F)F)cc1)c1ccccc1,TE,L,@@,S,CC(C)(C)P(=O)(C=Cc1ccc(C(F)(F)F)cc1)c1ccccc1,CC(C)(C)[P@](=O)(/C=C/c1ccc(C(F)(F)F)cc1)c1ccccc1
72,CC(C)(C)[P@](=O)(/C=C/c1ccc2ccccc2c1)c1ccccc1,TE,F,@,R,CC(C)(C)P(=O)(C=Cc1ccc2ccccc2c1)c1ccccc1,CC(C)(C)[P@@](=O)(/C=C/c1ccc2ccccc2c1)c1ccccc1
73,CC(C)(C)[P@@](=O)(/C=C/c1ccc2ccccc2c1)c1ccccc1,TE,L,@@,S,CC(C)(C)P(=O)(C=Cc1ccc2ccccc2c1)c1ccccc1,CC(C)(C)[P@](=O)(/C=C/c1ccc2ccccc2c1)c1ccccc1
74,CC(C)(C)[P@](=O)(Cc1ccc(-c2ccccc2)cc1)c1ccccc1,TE,F,@,R,CC(C)(C)P(=O)(Cc1ccc(-c2ccccc2)cc1)c1ccccc1,CC(C)(C)[P@@](=O)(Cc1ccc(-c2ccccc2)cc1)c1ccccc1
75,CC(C)(C)[P@@](=O)(Cc1ccc(-c2ccccc2)cc1)c1ccccc1,TE,L,@@,S,CC(C)(C)P(=O)(Cc1ccc(-c2ccccc2)cc1)c1ccccc1,CC(C)(C)[P@](=O)(Cc1ccc(-c2ccccc2)cc1)c1ccccc1
76,CC(C)(C)S(=O)(=O)N[C@@]1(c2ccc(Cl)cc2)C(=O)N(Cc2c(Cl)cccc2Cl)c2ccccc21,TE,F,@@,R,CC(C)(C)S(=O)(=O)NC1(c2ccc(Cl)cc2)C(=O)N(Cc2c(Cl)cccc2Cl)c2ccccc21,CC(C)(C)S(=O)(=O)N[C@]1(c2ccc(Cl)cc2)C(=O)N(Cc2c(Cl)cccc2Cl)c2ccccc21
